date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:00:12	406035/406035	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Mar%202021%2022:30:10%20GMT	https://teamaceofbotz.wixsite.com/agridoor	LOCALDIRECTORY/teamaceofbotz.wixsite.com/agridoor.html	(from )
04:00:12	201/201	---M--	200	added ('OK')	text/plain	etag:W/%22c9-fPhna5f2Wf3Q8vo5B48mI7Y0z7w%22	https://teamaceofbotz.wixsite.com/robots.txt		(from )
04:00:12	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2031%20Mar%202021%2022:30:12%20GMT	https://teamaceofbotz.wixsite.com/agridoor/decodeURIComponent(e	LOCALDIRECTORY/teamaceofbotz.wixsite.com/agridoor/decodeURIComponent(e	(from https://teamaceofbotz.wixsite.com/agridoor)
04:00:13	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2031%20Mar%202021%2022:30:13%20GMT	https://teamaceofbotz.wixsite.com/agridoor/https:	LOCALDIRECTORY/teamaceofbotz.wixsite.com/agridoor/https_	(from https://teamaceofbotz.wixsite.com/agridoor)
04:00:14	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2031%20Mar%202021%2022:30:14%20GMT	https://teamaceofbotz.wixsite.com/agridoor/robots.txt	LOCALDIRECTORY/teamaceofbotz.wixsite.com/agridoor/robots.txt	(from https://teamaceofbotz.wixsite.com/agridoor)
04:00:17	292/292	---M--	200	added ('OK')	text/xml	date:Wed,%2031%20Mar%202021%2022:30:16%20GMT	https://teamaceofbotz.wixsite.com/agridoor/sitemap.xml	LOCALDIRECTORY/teamaceofbotz.wixsite.com/agridoor/sitemap.xml	(from https://teamaceofbotz.wixsite.com/agridoor)
04:00:17	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2031%20Mar%202021%2022:30:17%20GMT	https://teamaceofbotz.wixsite.com/agridoor/feed.xml	LOCALDIRECTORY/teamaceofbotz.wixsite.com/agridoor/feed.xml	(from https://teamaceofbotz.wixsite.com/agridoor)
04:00:19	390470/390470	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Mar%202021%2022:30:18%20GMT	https://teamaceofbotz.wixsite.com/agridoor/products-services	LOCALDIRECTORY/teamaceofbotz.wixsite.com/agridoor/products-services.html	(from https://teamaceofbotz.wixsite.com/agridoor)
04:00:19	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2031%20Mar%202021%2022:30:19%20GMT	https://teamaceofbotz.wixsite.com/	LOCALDIRECTORY/teamaceofbotz.wixsite.com/index.html	(from https://teamaceofbotz.wixsite.com/agridoor)
04:00:19	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2031%20Mar%202021%2022:30:19%20GMT	https://teamaceofbotz.wixsite.com/agridoor/$&/	LOCALDIRECTORY/teamaceofbotz.wixsite.com/agridoor/$&/index.html	(from https://teamaceofbotz.wixsite.com/agridoor)
04:00:20	385995/385995	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Mar%202021%2022:30:19%20GMT	https://teamaceofbotz.wixsite.com/agridoor/about-us	LOCALDIRECTORY/teamaceofbotz.wixsite.com/agridoor/about-us.html	(from https://teamaceofbotz.wixsite.com/agridoor)
04:00:20	432963/432963	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Mar%202021%2022:30:20%20GMT	https://teamaceofbotz.wixsite.com/agridoor/contact	LOCALDIRECTORY/teamaceofbotz.wixsite.com/agridoor/contact.html	(from https://teamaceofbotz.wixsite.com/agridoor)
04:00:22	372564/372564	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Mar%202021%2022:30:21%20GMT	https://teamaceofbotz.wixsite.com/agridoor/technology	LOCALDIRECTORY/teamaceofbotz.wixsite.com/agridoor/technology.html	(from https://teamaceofbotz.wixsite.com/agridoor)
04:00:23	473698/473698	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Mar%202021%2022:30:22%20GMT	https://teamaceofbotz.wixsite.com/agridoor/copy-of-products-services	LOCALDIRECTORY/teamaceofbotz.wixsite.com/agridoor/copy-of-products-services.html	(from https://teamaceofbotz.wixsite.com/agridoor/products-services)
04:00:24	473715/473715	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Mar%202021%2022:30:23%20GMT	https://teamaceofbotz.wixsite.com/agridoor/copy-2-of-products-services	LOCALDIRECTORY/teamaceofbotz.wixsite.com/agridoor/copy-2-of-products-services.html	(from https://teamaceofbotz.wixsite.com/agridoor/products-services)
